no2,date,no2_rivm
16.15138889,2019/1/1 0:00,16.07086957
43.88194444,2019/1/2 0:00,25.32590909
60.86083916,2019/1/3 0:00,41.63916667
50.60972222,2019/1/4 0:00,36.91916667
23.63496503,2019/1/5 0:00,19.74833333
25.54685315,2019/1/6 0:00,22.04916667
39.45486111,2019/1/7 0:00,42.19458333
27.69930556,2019/1/8 0:00,19.11416667
35.11538462,2019/1/9 0:00,20.41708333
74.5540146,2019/1/10 0:00,47.92
39.43541667,2019/1/11 0:00,34.97
15.70434783,2019/1/12 0:00,20.6325
64.35319149,2019/1/18 0:00,50.15666667
62.83239437,2019/1/19 0:00,39.07458333
70.20769231,2019/1/20 0:00,41.45125
99.405,2019/1/21 0:00,65.79708333
62.92183099,2019/1/22 0:00,39.55958333
57.14166667,2019/1/23 0:00,36.93708333
64.40277778,2019/1/24 0:00,35.05166667
61.88601399,2019/1/25 0:00,41.62666667
24.3217406,2019/1/26 0:00,26.01041667
17.76713287,2019/1/27 0:00,13.31666667
36.98098592,2019/1/28 0:00,22.71041667
47.621746,2019/1/29 0:00,31.35791667
69.17902098,2019/1/30 0:00,42.34833333
53.1,2019/1/31 0:00,44.16708333
